park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,condition,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
533,PLAZA EN CALLE UNO NORTE,9583.10976547,Lawn Park,0.07764646410942078,0.027688859030604362,0.10533532314002514,0.7364369150393848,0.26261463621476944,High Woody Cover,Good condition,PLAZA,PENALOLEN,17.55247688293457,31.462194442749023,29.581697463989258,0.96,7,10,10,NA,10,P1 — Forest + Hot
534,PLAZA EN CALLE VIOLETA COUSIÑO,6249.383542,Lawn Park,0.1168922483921051,0.03138098493218422,0.14827323332428932,0.7878257133928034,0.21150031059575908,High Woody Cover,Good condition,PLAZA,PENALOLEN,17.925090789794922,31.86470603942871,29.62928581237793,0.62,7,10,10,NA,10,P1 — Forest + Hot
502,Plaza Don Ramón,5614.27544949,Lawn Park,0.07524602115154266,0.026022521778941154,0.10126854293048382,0.7423014968573103,0.25671200380957226,High Woody Cover,Good condition,PLAZA,LO ESPEJO,20.022010803222656,31.39177703857422,28.60000228881836,0.56,7,10,9,NA,9.5,P1 — Forest + Hot
529,Plaza Villa Macul,9212.70600818,Lawn Park,0.08117798715829849,0.029318485409021378,0.11049647256731987,0.734001594028106,0.26509421800207295,High Woody Cover,Good condition,PLAZA,MACUL,18.759294509887695,32.32878875732422,29.741008758544922,0.92,7,9,10,NA,9.5,P1 — Forest + Hot
535,Plaza en Calle Diego Dublé Almeyda,5783.46056409,Lawn Park,0.0727681815624237,0.027316324412822723,0.10008450597524643,0.7263416718389893,0.2726601698227871,High Woody Cover,Good condition,PLAZA,MACUL,19.10034942626953,32.498931884765625,29.600221633911133,0.58,7,9,10,NA,9.5,P1 — Forest + Hot
500,Plaza Los Abetos,4904.39569185,Lawn Park,0.08470775187015533,0.031522929668426514,0.11623068153858185,0.728163462551893,0.2709769189994105,High Woody Cover,NA,NA,NA,18.530986785888672,31.295167922973633,29.040122985839844,0.49,7,9,9,NA,9,P1 — Forest + Hot
551,PLAZA EN CALLE JOSÉ MIGUEL CARRERA,4155.15356503,Lawn Park,0.08247000724077225,0.031272727996110916,0.11374273523688316,0.7244204653829621,0.27470112986163625,High Woody Cover,Good condition,PLAZA,LA FLORIDA,18.817041397094727,31.516069412231445,29.105730056762695,0.42,7,8,10,NA,9,P1 — Forest + Hot
452,Plaza Aucanquilcha poniente,8063.40723745,Lawn Park,0.09937267005443573,0.03493708744645119,0.13430975750088692,0.7393263100990269,0.2599296962961982,High Woody Cover,Good condition,PLAZA,LAS CONDES,16.883331298828125,31.48493194580078,29.50279998779297,0.81,7,10,7,NA,8.5,P5 — Intermediate
477,Plaza Torreblanca,6270.20814256,Lawn Park,0.07642225921154022,0.028536049649119377,0.1049583088606596,0.7274270834960822,0.27162106413655646,High Woody Cover,NA,NA,NA,18.603391647338867,31.457855224609375,28.87540626525879,0.63,7,9,8,NA,8.5,P1 — Forest + Hot
481,Plaza Pegaso,6132.25169216,Lawn Park,0.07186881452798843,0.025659509003162384,0.09752832353115082,0.7361471745958728,0.2628285324901135,High Woody Cover,Good condition,PLAZA,LO ESPEJO,18.694259643554688,31.681907653808594,28.700000762939453,0.61,7,9,8,NA,8.5,P1 — Forest + Hot
496,Plaza San Nestor,5056.3753473,Lawn Park,0.07801643013954163,0.030155012384057045,0.10817144252359867,0.7205633204945735,0.27851307492725524,High Woody Cover,Poor condition,PLAZA,LA PINTANA,19.515636444091797,31.299999237060547,29.083627700805664,0.51,7,8,9,NA,8.5,P1 — Forest + Hot
510,Plaza Lillo,6070.26459027,Lawn Park,0.0802336111664772,0.030316399410367012,0.11055001057684422,0.7251116447996773,0.27398460472186653,High Woody Cover,Good condition,PLAZA,NUNOA,19.058855056762695,32.08848571777344,29.600000381469727,0.61,7,8,9,NA,8.5,P1 — Forest + Hot
518,Plaza Batallón Chacabuco,6277.77639622,Lawn Park,0.079979807138443,0.03114033304154873,0.11112014017999172,0.7191126266250759,0.2799882556446446,High Woody Cover,Good condition,PLAZA,LA PINTANA,18.600679397583008,31.200000762939453,28.50074005126953,0.63,7,7,10,NA,8.5,P5 — Intermediate
522,Plaza Zañartu,6604.43456212,Lawn Park,0.06799562275409698,0.027152270078659058,0.09514789283275604,0.7138805986342311,0.2850695093731387,High Woody Cover,Good condition,PLAZA,NUNOA,19.700698852539062,31.833703994750977,29.6627254486084,0.66,7,7,10,NA,8.5,P5 — Intermediate
433,Plaza Avda. Claudio Arrau,9631.17997505,Lawn Park,0.08640825748443604,0.027038995176553726,0.11344725266098976,0.7609894159431513,0.23812989343988972,High Woody Cover,NA,NA,NA,18.704118728637695,31.59979820251465,29.399999618530273,0.96,7,10,6,NA,8,P5 — Intermediate
446,Plaza Pedro Lira,7255.61123538,Lawn Park,0.09276846796274185,0.03436934947967529,0.12713781744241714,0.7290950900248288,0.2701189801155582,High Woody Cover,NA,NA,NA,19.39021873474121,31.64527702331543,29.649314880371094,0.73,7,9,7,NA,8,P5 — Intermediate
451,Plaza Mozart,6167.09942369,Lawn Park,0.08363603800535202,0.030714699998497963,0.11435073800384998,0.7307601459287978,0.268366115712288,High Woody Cover,Poor condition,BANDEJON,SAN JOAQUIN,19.3658447265625,32.17217254638672,29.899999618530273,0.62,7,9,7,NA,8,P5 — Intermediate
