condition,park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
Good condition,545,PLAZA SAN JUDAS TADEO,5196.65845369,Lawn Park,0.07150962203741074,0.029329653829336166,0.1008392758667469,0.7084419956787963,0.2905673096769107,High Woody Cover,PLAZA,PENALOLEN,18.80093002319336,31.530773162841797,29.75342559814453,0.52,7,4,10,NA,7,P5 — Intermediate
Good condition,385,Plaza Juan Pablo II,5598.26732382,Lawn Park,0.08558281511068344,0.031107135117053986,0.11668995022773743,0.7327926327890296,0.26635112915448517,High Woody Cover,PLAZA,LAS CONDES,20.415781021118164,32.93288040161133,29.932178497314453,0.56,7,8,5,NA,6.5,P5 — Intermediate
Good condition,406,Plaza Yungay,7720.3612785,Lawn Park,0.07666440308094025,0.02937922440469265,0.1060436274856329,0.7222704263740862,0.276787453949313,High Woody Cover,PLAZA,SANTIAGO,19.248685836791992,31.766199111938477,29.180315017700195,0.77,7,7,6,NA,6.5,P5 — Intermediate
Good condition,412,Plaza Bogotá,8410.91249062,Lawn Park,0.07367444783449173,0.028635017573833466,0.1023094654083252,0.7194105304694081,0.2796129972914167,High Woody Cover,PLAZA,SANTIAGO,19.67184829711914,31.899999618530273,29.700000762939453,0.84,7,7,6,NA,6.5,P5 — Intermediate
Good condition,480,Plaza Avda. Ovalle,8495.30498867,Lawn Park,0.06863143295049667,0.02752465382218361,0.09615608677268028,0.7130087587352021,0.2859523459247436,High Woody Cover,PLAZA,LO ESPEJO,19.03107261657715,31.385833740234375,28.65035057067871,0.85,7,5,8,NA,6.5,P5 — Intermediate
Good condition,528,Plaza Arabia,9854.67793123,Lawn Park,0.06413454562425613,0.026819558814167976,0.09095410443842411,0.7043564485072444,0.2945453033619683,High Woody Cover,PLAZA,MACUL,18.60783576965332,32.43666458129883,29.54129409790039,0.99,7,3,10,NA,6.5,P2 — Grass + Hot
Good condition,537,PLAZA EN CALLE DIAGONAL LAS TORRES,6402.14421069,Lawn Park,0.07997696101665497,0.034010566771030426,0.1139875277876854,0.7010140597094057,0.2981094202893362,High Woody Cover,PLAZA,PENALOLEN,17.91077995300293,32.13143539428711,29.61623764038086,0.64,7,3,10,NA,6.5,P2 — Grass + Hot
Good condition,395,Plaza Manuel Rodriguez,5822.02650313,Lawn Park,0.07097958773374557,0.027446428313851357,0.09842601604759693,0.7204146740233163,0.2785703656239613,High Woody Cover,PLAZA,SANTIAGO,21.316286087036133,31.408355712890625,29.661203384399414,0.58,7,7,5,NA,6,P5 — Intermediate
Good condition,401,Plaza Rondizzoni,7463.07815387,Lawn Park,0.11290425062179565,0.04441258683800697,0.15731683745980263,0.7172310944858518,0.2821336494537823,High Woody Cover,PLAZA,SANTIAGO,19.353755950927734,31.774396896362305,29.003129959106445,0.75,7,6,6,NA,6,P5 — Intermediate
Good condition,456,Plaza Fraternal,5050.18757483,Lawn Park,0.07967419177293777,0.03221704438328743,0.1118912361562252,0.7114323808498203,0.2876746921370293,High Woody Cover,PLAZA,PAC,19.110462188720703,31.799453735351562,28.6004638671875,0.51,7,5,7,NA,6,P5 — Intermediate
Good condition,473,Plaza Lo Ovalle,9554.09277409,Lawn Park,0.07123216241598129,0.029307188466191292,0.10053935088217258,0.7077963221302878,0.2912100307612657,High Woody Cover,PLAZA,LA CISTERNA,18.541231155395508,31.602344512939453,28.71380043029785,0.96,7,4,8,NA,6,P5 — Intermediate
Good condition,478,Plaza America,7537.28125285,Lawn Park,0.06791791319847107,0.027964893728494644,0.09588280692696571,0.7076049906536959,0.2913531560894381,High Woody Cover,PLAZA,SAN RAMON,19.256141662597656,32.299720764160156,29.29228401184082,0.75,7,4,8,NA,6,P5 — Intermediate
Good condition,503,Plaza Santa Adriana,5927.3776234,Lawn Park,0.06789765506982803,0.028328344225883484,0.09622599929571152,0.7048736121738928,0.29408824650672144,High Woody Cover,PLAZA,LO ESPEJO,19.633026123046875,31.401172637939453,29.198352813720703,0.59,7,3,9,NA,6,P2 — Grass + Hot
Good condition,504,Plaza Norte,5036.46694932,Lawn Park,0.06414544582366943,0.026776568964123726,0.09092201478779316,0.7047245215700487,0.29417684311372433,High Woody Cover,PLAZA,CERRILLOS,18.361000061035156,31.452396392822266,28.399999618530273,0.5,7,3,9,NA,6,P2 — Grass + Hot
Good condition,436,Plaza Santa Anita,6105.24983027,Lawn Park,0.07489240169525146,0.030801570042967796,0.10569397173821926,0.7079080259938454,0.2911467405646175,High Woody Cover,PLAZA,LO PRADO,18.815265655517578,31.844770431518555,29.299999237060547,0.61,7,4,7,NA,5.5,P5 — Intermediate
Good condition,443,Plaza José Cardín,6245.21989195,Lawn Park,0.06815072894096375,0.02827422507107258,0.09642495401203632,0.7060425942545965,0.2929214042158143,High Woody Cover,PLAZA,ESTACION CENTRA,18.831600189208984,31.299999237060547,28.30000114440918,0.62,7,4,7,NA,5.5,P5 — Intermediate
Good condition,449,Plaza Carlo Silva Vildósola,7614.67076429,Lawn Park,0.07140237092971802,0.029372699558734894,0.10077507048845291,0.707829700479777,0.2911789743145425,High Woody Cover,PLAZA,SAN JOAQUIN,19.727937698364258,31.64870834350586,29.5,0.76,7,4,7,NA,5.5,P5 — Intermediate
Good condition,506,Plaza Lucila Godoy,5928.50518217,Lawn Park,0.0687386766076088,0.02947736158967018,0.09821603819727898,0.6991603594693182,0.29982251248287184,High Woody Cover,PLAZA,LO ESPEJO,19.052139282226562,31.334239959716797,29.138282775878906,0.59,7,2,9,NA,5.5,P2 — Grass + Hot
Good condition,513,Plaza Población Juan Pablo II,6510.57959134,Lawn Park,0.07302010804414749,0.031174611300230026,0.10419471934437752,0.7001323605180588,0.29890881816645526,High Woody Cover,PLAZA,EL BOSQUE,18.458181381225586,31.114437103271484,28.383941650390625,0.65,7,2,9,NA,5.5,P2 — Grass + Hot
