park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,condition,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
417,"Parque Forestal, Sector 2b",6114.03292404,Urban Park,0.18445676565170288,0.03964401036500931,0.2241007760167122,0.8227302729672679,0.1768236982464958,High Woody Cover,Good condition,PARQUE,SANTIAGO,19.44017219543457,31.80326271057129,28.998729705810547,0.61,7,10,10,NA,10,P1 — Forest + Hot
416,"Parque Forestal, Sector 1b",5766.13527995,Urban Park,0.15985502302646637,0.03998829051852226,0.19984331354498863,0.799501719723665,0.1999981385200192,High Woody Cover,Good condition,PARQUE,SANTIAGO,19.719266891479492,31.74711799621582,29.15123176574707,0.58,7,9,9,NA,9,P1 — Forest + Hot
520,PARQUE SAN ESTEBAN DE HUNGRIA,3559.18561751,Urban Park,0.07634155452251434,0.027666984125971794,0.10400853864848614,0.7332881194334624,0.26575134455961463,High Woody Cover,Good condition,BANDEJON,NUNOA,20.138290405273438,32.19033432006836,29.34108543395996,0.36,7,7,10,NA,8.5,P5 — Intermediate
354,PARQUE AVENIDA PERÚ,7481.89734211,Urban Park,0.07456333190202713,0.02770560421049595,0.10226893611252308,0.7283784977511902,0.2706446434105965,High Woody Cover,Good condition,BANDEJON,RECOLETA,19.289512634277344,31.461896896362305,29.30937385559082,0.75,7,7,9,NA,8,P5 — Intermediate
519,PARQUE SAN ESTEBAN DE HUNGRIA,5684.41691493,Urban Park,0.07025603950023651,0.02701488696038723,0.09727092646062374,0.7215299479423939,0.2774430514565546,High Woody Cover,Good condition,BANDEJON,PROVIDENCIA,20.19423484802246,32.01896667480469,29.221464157104492,0.57,7,6,10,NA,8,P5 — Intermediate
342,PARQUE MANUTARA,9585.81599727,Urban Park,0.07034896314144135,0.025986772030591965,0.09633573517203331,0.7294906086000658,0.26947243139935345,High Woody Cover,Good condition,PLAZA,LA FLORIDA,19.05704689025879,31.361404418945312,29.015439987182617,0.96,7,7,8,NA,7.5,P5 — Intermediate
296,PARQUE QUILIN 1,6166.01201664,Urban Park,0.09467100352048874,0.03404516726732254,0.12871617078781128,0.7349310489630438,0.2642926509855852,High Woody Cover,Good condition,PLAZA,PENALOLEN,17.428165435791016,31.858291625976562,29.5142879486084,0.62,7,7,7,NA,7,P5 — Intermediate
107,PARQUE TOBALABA ETAPA 4,5439.31790866,Urban Park,0.17182967066764832,0.04979170858860016,0.22162137925624847,0.774980163140068,0.22456882036194958,High Woody Cover,Poor condition,PLAZA,PENALOLEN,17.906187057495117,31.481674194335938,29.409160614013672,0.54,7,9,4,NA,6.5,P5 — Intermediate
329,PARQUE SANTA ELENA,6653.06520496,Urban Park,0.06551247835159302,0.02618470788002014,0.09169718623161316,0.7136654296385372,0.2852452123527359,High Woody Cover,Good condition,PLAZA,EL BOSQUE,18.929290771484375,31.48661231994629,29.02435302734375,0.67,7,5,8,NA,6.5,P5 — Intermediate
341,PARQUE ENTRE LAGOS,7222.78016077,Urban Park,0.06830135732889175,0.027126498520374298,0.09542785584926605,0.714988907912524,0.28396427700813626,High Woody Cover,Good condition,PLAZA,LA FLORIDA,18.922903060913086,31.610633850097656,29.33200454711914,0.72,7,5,8,NA,6.5,P5 — Intermediate
