...1,id,ph,ce,om_value,n,p,k,bd,clay,silt,sand,class,ring,text,park_id,name,greenspace_type,comuna,woody_ratio,grass_ratio,structure_cat,stgohot_decile_mean,condition,clase,woody_decile,temp_decile,priority_score,sampling_priority,lon,lat,join_distance_m,within_park
43,43,7.71,1.35,1.96,18,8,493,1.57,18,36,46,roadside park,inner,Lo,95,BANDEJÓN LOS HELECHOS 1,Roadside,NA,0.6989262473509161,0.3000929280308579,High Woody Cover,NA,NA,NA,3,NA,NA,P5 — Intermediate,-70.700076,-33.393247,554.9760776035594,TRUE
44,44,7.56,1.62,3.82,11,23,374,1.09,22,38,40,park,inner,Lo,152,PARQUE SANTA MÓNICA,Urban Park,RECOLETA,0.8129518934006914,0.18666911451573484,High Woody Cover,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate,-70.664643,-33.389976,824.4908724488866,TRUE
45,45,7.59,0.68,5.34,12,16,249,1.15,10,28,62,roadside park,inner,SaLo,154,PLAZA QUINTA BELLA I,Lawn Park,RECOLETA,0.6978001560934158,0.3011228578579345,High Woody Cover,7,Poor condition,PLAZA,2,4,3,P5 — Intermediate,-70.626445,-33.396804,905.5557866547557,TRUE
46,46,7.27,0.87,3.93,2,8,207,1.23,22,34,44,park,outer,Lo,94,PLAZA COLOMBIA,Lawn Park,VITACURA,0.6964525661856376,0.30266998688949875,High Woody Cover,6,Good condition,PLAZA,2,1,1.5,P4 — Grass + Cool,-70.578404,-33.391319,664.7702597534013,TRUE
47,47,7.32,0.65,3.23,34,32,590,1.08,36,44,20,roadside park,outer,ClLo,68,PLAZA CORTE DE APELACIONES,Lawn Park,VITACURA,0.6910226102413157,0.3080079082468247,High Woody Cover,7,Good condition,PLAZA,2,3,2.5,P4 — Grass + Cool,-70.536521,-33.390212,846.0670291681944,TRUE
48,48,7.61,1.13,1.66,6,6,160,1.19,22,40,38,park,outer,Lo,414,Plaza El Convento / Los Monjes,Lawn Park,LAS CONDES,0.672651326036528,0.32651557225359024,High Woody Cover,6,Good condition,PLAZA,1,1,1,P4 — Grass + Cool,-70.503998,-33.39016,344.4861818873177,TRUE
49,49,7.48,1.35,4.07,17,29,307,1.09,20,44,36,park,outer,Lo,425,Plaza Los Mercenarios,Lawn Park,QUILICURA,0.7098868319325792,0.28905427760760727,High Woody Cover,7,Poor condition,PLAZA,5,7,6,P5 — Intermediate,-70.751511,-33.352653,1212.6092575147973,FALSE
50,50,7.71,1.34,4.79,16,75,425,1.09,24,44,32,park,outer,Lo,370,Plaza Romeral,Lawn Park,QUILICURA,0.7180836062239305,0.2808673369124003,High Woody Cover,NA,Good condition,PLAZA,6,NA,NA,P5 — Intermediate,-70.71508,-33.355236,1701.6766066029618,FALSE
51,51,7.86,0.58,3.58,18,26,358,1.12,28,34,38,park,outer,ClLo,257,PARQUE AMERICO VESPUCIO (NORTE),Urban Park,CONCHALI,0.718403020693038,0.2808216710470428,High Woody Cover,NA,Good condition,PARQUE,6,NA,NA,P5 — Intermediate,-70.666883,-33.354125,2423.6509614021616,FALSE
52,52,7.66,2.36,2.37,3,23,324,1.29,18,44,38,park,outer,Lo,517,Parque Huechuraba,Urban Park,NA,0.8236792962832629,0.17572533684962058,High Woody Cover,NA,NA,NA,10,NA,NA,P5 — Intermediate,-70.630789,-33.360556,615.1367544990851,TRUE
53,53,7.52,0.49,3.76,12.5,29.5,298,1.16,22,31,47,park,outer,Lo,307,PARQUE LAS PATAGUAS,Urban Park,LO BARNECHEA,0.7203165867386084,0.27876311368660245,High Woody Cover,NA,Good condition,BANDEJON,7,NA,NA,P5 — Intermediate,-70.536056,-33.357706,501.033584469553,TRUE
54,54,7.15,2.55,2.63,13,29,298,1.28,16,26,58,roadside park,outer,SaLo,137,PARQUE DE LA CHILENIDAD,Urban Park,NA,0.8863976227945333,0.11329922880360556,High Woody Cover,NA,NA,NA,10,NA,NA,P5 — Intermediate,-70.493382,-33.363458,866.9014055869975,TRUE
55,55,7.66,0.44,3.69,6,27,603,1.13,14,22,64,roadside park,outer,SaLo,122,BANDEJÓN CENTRAL BOULEVARD JARDÍN DE LOS PÁJAROS,Roadside,LO BARNECHEA,0.706407723480868,0.29279716571101677,High Woody Cover,NA,Good condition,BANDEJON,4,NA,NA,P5 — Intermediate,-70.542119,-33.323631,515.5983523445443,TRUE
56,56,7.18,0.77,8.62,52,88,584,1.17,22,36,42,roadside park,inner,Lo,398,Plaza Jorge Montt,Lawn Park,SANTIAGO,0.6958408121100956,0.30322747323892363,High Woody Cover,7,Good condition,PLAZA,2,6,4,P5 — Intermediate,-70.679461,-33.470283,874.6617948368852,TRUE
57,57,7.55,0.97,8.35,23,65,146,1.02,16,30,54,park,inner,SaLo,455,Parque Centenario,Urban Park,NA,0.6642733111796976,0.33500169145213726,High Woody Cover,NA,NA,NA,1,NA,NA,P5 — Intermediate,-70.667742,-33.473575,297.0027339692698,TRUE
58,58,7.81,0.39,4.08,20,44,304,1.19,26,32,42,roadside park,inner,Lo,455,Parque Centenario,Urban Park,NA,0.6642733111796976,0.33500169145213726,High Woody Cover,NA,NA,NA,1,NA,NA,P5 — Intermediate,-70.666676,-33.476072,170.8436645946649,TRUE
59,59,7.62,0.64,5.07,19,41,339,1.16,30,36,34,roadside park,inner,ClLo,398,Plaza Jorge Montt,Lawn Park,SANTIAGO,0.6958408121100956,0.30322747323892363,High Woody Cover,7,Good condition,PLAZA,2,6,4,P5 — Intermediate,-70.672542000000007,-33.475047000000004,42.3281465396104,TRUE
