park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,temp_am_c,temp_af_c,temp_pm_c,area_ha,Management
132,PARQUE QUEBRADA EL PEUMO,40898.17679965,Urban Park,0.4647142291069031,0.037637945264577866,0.5023521743714809,0.9248924630253926,0.07490851305730599,High Woody Cover,16.59366798400879,30.41742515563965,27.58169937133789,4.09,Urban Forest (Cool)
39,PARQUE METROPOLITANO DE SANTIAGO,797447.76119111,Urban Park,0.5568046569824219,0.0462544746696949,0.6030591316521168,0.9231471891294672,0.07668701714421365,High Woody Cover,19.934885025024414,31.6528377532959,30.11005210876465,79.74,Urban Forest (Cool)
38,PARQUE METROPOLITANO DE SANTIAGO,1573622.46812685,Urban Park,0.48900744318962097,0.04209045693278313,0.5310979001224041,0.9205748800530628,0.07923686619070634,High Woody Cover,20.05418586730957,31.647064208984375,29.631044387817383,157.36,Urban Forest (Cool)
196,PARQUE METROPOLITANO DE SANTIAGO,2436566.6781184,Urban Park,0.48859918117523193,0.04250762611627579,0.5311068072915077,0.919790888348134,0.08002086105223627,High Woody Cover,19.819759368896484,31.90167236328125,29.952011108398438,243.66,Urban Forest (Cool)
37,PARQUE METROPOLITANO DE SANTIAGO,573707.21522856,Urban Park,0.5098260045051575,0.05194591358304024,0.5617719180881977,0.9073705022309542,0.09245152126447122,High Woody Cover,19.720272064208984,31.66522789001465,30.258211135864258,57.37,Urban Forest (Cool)
355,PARQUE QUILIN LAS PIRCAS,11985.9537517,Urban Park,0.34983327984809875,0.04036311060190201,0.39019639045000076,0.8963272231258681,0.10341656133525723,High Woody Cover,16.35384750366211,30.299999237060547,28.125890731811523,1.2,Urban Forest (Cool)
131,ESTERO LAS ROSAS,24348.21653293,Roadside,0.403494656085968,0.04781494662165642,0.45130960270762444,0.8938548353108681,0.10592363639332214,High Woody Cover,15.755727767944336,30.14940071105957,27.441980361938477,2.43,Urban Forest (Cool)
137,PARQUE DE LA CHILENIDAD,495570.00816664,Urban Park,0.2924121022224426,0.037374019622802734,0.32978612184524536,0.8864031641792365,0.11329370091032645,High Woody Cover,16.47418975830078,30.561059951782227,27.894948959350586,49.56,Urban Forest (Cool)
302,PARQUE MUNICIPAL,400277.15051483,Urban Park,0.28524506092071533,0.04083649069070816,0.3260815516114235,0.8744978356731979,0.12519558659576255,High Woody Cover,17.74506187438965,31.7540283203125,29.01513671875,40.03,Urban Forest (Cool)
139,PARQUE ESTERO EL ARRAYAN,15965.28330895,Urban Park,0.25044316053390503,0.03783111646771431,0.28827427700161934,0.8684656729369059,0.13118755549581101,High Woody Cover,17.746337890625,31.26937484741211,28.201248168945313,1.6,Urban Forest (Cool)
140,PARQUE LOS NIÑOS,51310.28657893,Urban Park,0.09105926752090454,0.077186219394207,0.16824548691511154,0.5409070904693829,0.4584988930123697,Mixed/Balanced,18.548086166381836,31.678630828857422,29.244585037231445,5.13,Open Grass (Hot)
246,ROTONDA Y BANDEJON RODRIGO DE ARAYA,23219.50627654,Roadside,0.09022189676761627,0.06798214465379715,0.15820404142141342,0.5699279434530733,0.42944036073485464,Mixed/Balanced,19.228069305419922,31.84718894958496,29.644798278808594,2.32,Open Grass (Hot)
327,PARQUE MAHUIDACHE,5100.82061029,Urban Park,0.08836100250482559,0.061486098915338516,0.1498471014201641,0.5892811642769326,0.4100519338686609,Mixed/Balanced,18.320167541503906,31.745155334472656,28.7135009765625,0.51,Open Grass (Hot)
234,ROTONDA Y BANDEJON RODRIGO DE ARAYA,17741.67177495,Roadside,0.08771935105323792,0.06079373508691788,0.1485130861401558,0.5902532094011594,0.4090739023452067,Mixed/Balanced,19.307777404785156,31.861122131347656,29.68344497680664,1.77,Open Grass (Hot)
5,CENTRO DEPORTIVO RECREATIVO PARQUE PADRE ALBERTO HURTADO,45670.70204191,Urban Park,0.17415249347686768,0.11125297099351883,0.2854054644703865,0.6099795455751471,0.3896701984317303,High Woody Cover,16.83295249938965,30.793624877929688,28.91305923461914,4.57,Open Grass (Hot)
195,PARQUE LAS PALMERAS,156317.08511071,Urban Park,0.12297777086496353,0.07537390291690826,0.1983516737818718,0.6196862365602146,0.3798098624240152,High Woody Cover,18.190452575683594,31.767112731933594,29.407148361206055,15.63,Open Grass (Hot)
304,PARQUE SANTIAGO AMENGUAL,85672.80389986,Urban Park,0.08267048746347427,0.049856241792440414,0.1325267292559147,0.6233320230943377,0.37591398108173585,High Woody Cover,17.931928634643555,31.834508895874023,29.446229934692383,8.57,Open Grass (Hot)
372,PARQUE AV GENERAL SAN MARTÍN,40871.07126281,Urban Park,0.09507627785205841,0.05418422445654869,0.1492605023086071,0.6365556916487386,0.3627747873034989,High Woody Cover,17.29615592956543,33.36040115356445,30.699722290039063,4.09,Open Grass (Hot)
553,Parque Brasil E1,131523.95611541,Urban Park,0.12141958624124527,0.0678042471408844,0.18922383338212967,0.6413328109418374,0.35813899354144635,High Woody Cover,18.481779098510742,31.423221588134766,29.39253807067871,13.15,Open Grass (Hot)
444,Parque La Aguada,14423.6660566,Urban Park,0.08004879951477051,0.04448434337973595,0.12453314289450645,0.6422753824199589,0.3569222627835755,High Woody Cover,19.580219268798828,31.45383644104004,29.355735778808594,1.44,Open Grass (Hot)
