park_id,name,greenspace_type,comuna,area_ha,area_m2,mean_woody,mean_grass,woody_ratio,grass_ratio,structure_cat,temp_am_c,temp_af_c,temp_pm_c,stgohot_decile_mean,condition,clase,woody_decile,temp_decile,priority_score,sampling_priority
534,PLAZA EN CALLE VIOLETA COUSIÑO,Lawn Park,PENALOLEN,0.62,6249.383542,0.1168922483921051,0.03138098493218422,0.7878257133928034,0.21150031059575908,High Woody Cover,17.925090789794922,31.86470603942871,29.62928581237793,7,Good condition,PLAZA,10,10,10,P1 — Forest + Hot
502,Plaza Don Ramón,Lawn Park,LO ESPEJO,0.56,5614.27544949,0.07524602115154266,0.026022521778941154,0.7423014968573103,0.25671200380957226,High Woody Cover,20.022010803222656,31.39177703857422,28.60000228881836,7,Good condition,PLAZA,9,9,9,P1 — Forest + Hot
533,PLAZA EN CALLE UNO NORTE,Lawn Park,PENALOLEN,0.96,9583.10976547,0.07764646410942078,0.027688859030604362,0.7364369150393848,0.26261463621476944,High Woody Cover,17.55247688293457,31.462194442749023,29.581697463989258,7,Good condition,PLAZA,8,10,9,P1 — Forest + Hot
535,Plaza en Calle Diego Dublé Almeyda,Lawn Park,MACUL,0.58,5783.46056409,0.0727681815624237,0.027316324412822723,0.7263416718389893,0.2726601698227871,High Woody Cover,19.10034942626953,32.498931884765625,29.600221633911133,7,Good condition,PLAZA,8,10,9,P1 — Forest + Hot
500,Plaza Los Abetos,Lawn Park,NA,0.49,4904.39569185,0.08470775187015533,0.031522929668426514,0.728163462551893,0.2709769189994105,High Woody Cover,18.530986785888672,31.295167922973633,29.040122985839844,7,NA,NA,8,9,8.5,P1 — Forest + Hot
529,Plaza Villa Macul,Lawn Park,MACUL,0.92,9212.70600818,0.08117798715829849,0.029318485409021378,0.734001594028106,0.26509421800207295,High Woody Cover,18.759294509887695,32.32878875732422,29.741008758544922,7,Good condition,PLAZA,8,9,8.5,P1 — Forest + Hot
551,PLAZA EN CALLE JOSÉ MIGUEL CARRERA,Lawn Park,LA FLORIDA,0.42,4155.15356503,0.08247000724077225,0.031272727996110916,0.7244204653829621,0.27470112986163625,High Woody Cover,18.817041397094727,31.516069412231445,29.105730056762695,7,Good condition,PLAZA,7,10,8.5,P5 — Intermediate
433,Plaza Avda. Claudio Arrau,Lawn Park,NA,0.96,9631.17997505,0.08640825748443604,0.027038995176553726,0.7609894159431513,0.23812989343988972,High Woody Cover,18.704118728637695,31.59979820251465,29.399999618530273,7,NA,NA,9,7,8,P5 — Intermediate
452,Plaza Aucanquilcha poniente,Lawn Park,LAS CONDES,0.81,8063.40723745,0.09937267005443573,0.03493708744645119,0.7393263100990269,0.2599296962961982,High Woody Cover,16.883331298828125,31.48493194580078,29.50279998779297,7,Good condition,PLAZA,9,7,8,P5 — Intermediate
458,Plaza en Isabel la Católica,Lawn Park,LAS CONDES,0.5,4963.3650106,0.095631904900074,0.03439562767744064,0.7349090773169605,0.2643224458048629,High Woody Cover,18.832780838012695,31.803030014038086,29.899999618530273,7,Good condition,PLAZA,8,8,8,P1 — Forest + Hot
